length_s,rate,wav_location,species,key,bird_id,start_time,end_time,spectrogram,syllables_sequence_pos,syllables_sequence_id
1.126031746031746,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout1.wav,Junco-hyemalis,bout1,139623,0.9171428571428571,1.0092063492063492,"[[15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 ...
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]]",12,0
1.126031746031746,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout1.wav,Junco-hyemalis,bout1,139623,1.028888888888889,1.1184126984126983,"[[14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 ...
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]]",13,0
1.126031746031746,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout1.wav,Junco-hyemalis,bout1,139623,1.1450793650793651,1.2374603174603174,"[[14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 ...
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]]",14,0
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.21936507936507935,0.2676190476190476,"[[11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 ...
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]]",0,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.2873015873015873,0.3311111111111111,"[[8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 ...
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]]",1,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.36253968253968255,0.41079365079365077,"[[10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 ...
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]]",2,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.43238095238095237,0.4809523809523809,"[[10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 ...
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]]",3,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.49841269841269836,0.5533333333333332,"[[6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 ...
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]]",4,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.5650793650793651,0.6203174603174603,"[[13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 ...
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]]",5,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.6333333333333333,0.6866666666666666,"[[13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 ...
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]]",6,1
